brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket
Unknown,Allen Solly Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Allen Solly Tops""]",,899.0,539.0,40.04449388209122,Clothing,Women's Clothing,₹500–1K
Unknown,Alibi Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Alibi Tops""]",2.0,699.0,417.0,40.343347639484975,Clothing,Women's Clothing,<₹500
Unknown,Butterfly Wears Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Butterfly Wears Tops""]",,999.0,449.0,55.05505505505506,Clothing,Women's Clothing,<₹500
Unknown,Juelle Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Juelle Tops""]",,995.0,796.0,20.0,Clothing,Women's Clothing,₹500–1K
Unknown,French Creations Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> French Creations Tops""]",,999.0,749.0,25.025025025025027,Clothing,Women's Clothing,₹500–1K
Myesquire,Myesquire Ceramic Coffee Burner Pot Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,349.0,245.0,29.799426934097422,Home Decor & Festive Needs,Candles & Fragrances,<₹500
Myesquire,Myesquire Blue Green Aroma Burner Combo Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,790.0,280.0,64.55696202531645,Home Decor & Festive Needs,Candles & Fragrances,<₹500
Myesquire,Myesquire White Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,790.0,270.0,65.82278481012658,Home Decor & Festive Needs,Candles & Fragrances,<₹500
Myesquire,Myesquire Brown Aroma Burner Combo Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,790.0,270.0,65.82278481012658,Home Decor & Festive Needs,Candles & Fragrances,<₹500
Myesquire,Myesquire Ceramic Burner Pot Lemongrass Liquid Air Freshener,"[""Home Decor & Festive Needs >> Candles & Fragrances >> Home Fragrances >> Aroma Oils >> Myesquire Aroma Oils""]",,349.0,245.0,29.799426934097422,Home Decor & Festive Needs,Candles & Fragrances,<₹500
BlueStone,"BlueStone The Golden Arm Yellow Gold Diamond, Pearl 18 K Ring","[""Jewellery >> Rings""]",,24624.0,24624.0,0.0,Jewellery,Rings,₹5K+
Unknown,612 League Girl's Gathered Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> 612 League Dresses""]",,1045.0,522.0,50.047846889952154,Clothing,Kids' Clothing,₹500–1K
Unknown,612 League Girl's Gathered Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> 612 League Dresses""]",,1095.0,766.0,30.04566210045662,Clothing,Kids' Clothing,₹500–1K
Unknown,612 League Girl's Gathered Dress,"[""Clothing >> Kids' Clothing >> Girls Wear >> Dresses & Skirts >> Dresses >> 612 League Dresses""]",,1045.0,731.0,30.04784688995215,Clothing,Kids' Clothing,₹500–1K
Unknown,Cation Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Cation Tops""]",,1200.0,600.0,50.0,Clothing,Women's Clothing,₹500–1K
Unknown,Blacksoul Casual Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Blacksoul Tops""]",,1099.0,550.0,49.95450409463149,Clothing,Women's Clothing,₹500–1K
Unknown,Jewlook Neck Tie Men's  Combo,"[""Clothing >> Men's Clothing >> Jewlook Men's Clothing""]",,1799.0,899.0,50.0277932184547,Clothing,Men's Clothing,₹500–1K
Unknown,Palette Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Palette Tops""]",,1099.0,499.0,54.5950864422202,Clothing,Women's Clothing,<₹500
Unknown,Rampwalk Casual Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Rampwalk Tops""]",,799.0,399.0,50.06257822277848,Clothing,Women's Clothing,<₹500
Unknown,The Vanca Casual 3/4 Sleeve Polka Print Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> The Vanca Tops""]",,1299.0,571.0,56.04311008468053,Clothing,Women's Clothing,₹500–1K
Unknown,The Vanca Casual 3/4 Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> The Vanca Tops""]",3.0,1299.0,571.0,56.04311008468053,Clothing,Women's Clothing,₹500–1K
Unknown,Komnil Solid Women's Polo T-Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Polos & T-Shirts >> Komnil Polos & T-Shirts""]",,1699.0,799.0,52.97233666862861,Clothing,Women's Clothing,₹500–1K
Unknown,Kaaryah Formal Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Kaaryah Tops""]",,1484.0,742.0,50.0,Clothing,Women's Clothing,₹500–1K
Unknown,Kaaryah Formal Sleeveless Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Kaaryah Tops""]",,1380.0,1380.0,0.0,Clothing,Women's Clothing,₹1K–2K
H E Creations,H E Creations Brass Cubic Zirconia Yellow Gold Ring,"[""Jewellery >> Rings""]",,1500.0,500.0,66.66666666666666,Jewellery,Rings,<₹500
Unknown,Aaliya Festive Full Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Aaliya Tops""]",,1700.0,850.0,50.0,Clothing,Women's Clothing,₹500–1K
Unknown,Kaaryah Formal Short Sleeve Solid Women's Top,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Tops >> Kaaryah Tops""]",,1360.0,952.0,30.0,Clothing,Women's Clothing,₹500–1K
