brand,product_name,product_category_tree,product_rating,retail_price,discounted_price,discount_percentage,main_category,sub_category,price_bucket,price_bucket_sort,discount_bucket,discount_bucket_sort
SANTOSH ROYAL FASHION,SANTOSH ROYAL FASHION Cotton Printed King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> SANTOSH ROYAL FASHION Bedsheets >> SANTOSH ROYAL FASHION Cotton Printed King sized ...""]",,2699.0,1299.0,51.87106335679882,Home Furnishing,Bed Linen,₹1K–2K,3,40–60%,4
CASEDEAL,CASEDEAL Microsoft Nokia lumia x2 Back Panel,"[""Mobiles & Accessories >> Mobile Accessories >> Mobile Body Panels >> CASEDEAL Mobile Body Panels >> CASEDEAL Microsoft Nokia lumia x2 Back Panel (Wh...""]",,1999.0,380.0,80.99049524762381,Mobiles & Accessories,Mobile Accessories,<₹500,1,80%+,6
Mario Gotze,Mario Gotze Women's Printed Casual Orange Shirt,"[""Clothing >> Women's Clothing >> Western Wear >> Shirts, Tops & Tunics >> Shirts >> Mario Gotze Shirts >> Mario Gotze Women's Printed Casual Orange Shirt""]",,1499.0,899.0,40.0266844563042,Clothing,Women's Clothing,₹500–1K,2,40–60%,4
Jaipur Print,Jaipur Print Cotton Floral King sized Double Bedsheet,"[""Home Furnishing >> Bed Linen >> Bedsheets >> Jaipur Print Bedsheets >> Jaipur Print Cotton Floral King sized Double Bed...""]",,2599.0,698.0,73.14351673720661,Home Furnishing,Bed Linen,₹500–1K,2,60–80%,5
Shilpi,Shilpi NHSCN003 Coin Bank,"[""Pens & Stationery >> College Supplies >> Coin Banks >> Shilpi Coin Banks >> Shilpi NHSCN003 Coin Bank (Brown)""]",,900.0,650.0,27.77777777777778,Pens & Stationery,College Supplies,₹500–1K,2,20–40%,3
Babeezworld,Babeezworld Dungaree Baby Boy's  Combo,"[""Baby Care >> Infant Wear >> Baby Boys' Clothes >> Combo Sets >> Babeezworld Combo Sets >> Babeezworld Dungaree Baby Boy's  Combo""]",,999.0,499.0,50.05005005005005,Baby Care,Infant Wear,<₹500,1,40–60%,4
Redbag,Redbag Eight Armed Goddess Sherawali Maa Showpiece  -  10.8 cm,"[""Home Decor & Festive Needs >> Table Decor & Handicrafts >> Showpiece >> Religious Idols >> Redbag Religious Idols >> Redbag Eight Armed Goddess Sherawali Maa Showpie...""]",,1600.0,1200.0,25.0,Home Decor & Festive Needs,Table Decor & Handicrafts,₹1K–2K,3,20–40%,3
Proence,"Proence Weight Gainers, Mass Gainers","[""Food & Nutrition >> Health & Nutrition >> Protein Supplements >> Proence Weight Gainers, Mass Gainers (60 No, Unf...""]",,1025.0,949.0,7.414634146341463,Food & Nutrition,Health & Nutrition,₹500–1K,2,0–10%,1
Slim,Discountgod Men's Checkered Casual Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Discountgod Casual & Party Wear Shirts""]",,750.0,590.0,21.333333333333336,Clothing,Men's Clothing,₹500–1K,2,20–40%,3
Slim,Silver Streak Men's Printed Casual Denim Shirt,"[""Clothing >> Men's Clothing >> Shirts >> Casual & Party Wear Shirts >> Silver Streak Casual & Party Wear Shirts""]",,1299.0,599.0,53.88760585065435,Clothing,Men's Clothing,₹500–1K,2,40–60%,4
